"id_key_new","cs4"
"50003812257",4
"50003812320",4
"50003812353",3
"500038125",1
"5000381251",1
"5000381254",4
"5000381258",4
"50003812626",2
"50003812635",1
"50003812636",2
"50003812642",4
"50003812654",2
"50003812838",2
"50003812839",2
"50003812840",1
"50003812847",1
"50003812848",4
"5000381285",4
"50003812850",4
"50003812852",4
"50003812915",4
"50003812942",1
"50003812946",1
"50003812947",4
"500038132",1
"50003813313",4
"50003813314",4
"50003813322",4
"50003813323",4
"5000381333",2
"50003813333",4
"50003813334",4
"50003813335",4
"50003813337",4
"50003813341",4
"50003813343",1
"50003813350",4
"50003813351",4
"5000381341",4
"500038134134",2
"50003813440",1
"50003813451",4
"50003813456",4
"5000381346",2
"50003813460",2
"50003813475",4
"50003813477",4
"50003813478",2
"50003813483",1
"50003813484",4
"50003813486",3
"5000381354",1
"50003813548",4
"50003813611",1
"50003813620",2
"50003813623",2
"50003813624",2
"50003813625",4
"50003813626",4
"50003813628",4
"50003813631",4
"50003813632",4
"50003813634",4
"50003813644",1
"50003813645",4
"5000381368",1
"50003813710",4
"500038137100",4
"50003813714",4
"50003813715",4
"50003813718",4
"50003813727",4
"50003813728",2
"50003813731",4
"5000381375",1
"5000381377",2
"5000381378",4
"50003813812",4
"50003813832",3
"5000381385",1
"50003814028",4
"50003814033",4
"50003814034",1
"50003814037",4
"50003814038",4
"50003814043",1
"50003814046",4
"50003814135",1
"50003814138",4
"50003814139",3
"50003814236",4
"50003814238",4
"50003814239",2
"50003814241",4
"50003814243",4
"50003814317",4
"5000381432",4
"5000381434",1
"50003814343",4
"50003814415",1
"50003814426",2
"50003814431",2
"50003814435",2
"50003814437",4
"50003814438",4
"50003814445",2
"50003814446",4
"50003814447",3
"50003814448",2
"50003814534",4
"500038145340023",4
"50003814536",2
"50003814542",4
"50003814543",4
"50003814544",1
"50003814546",4
"50003814559",4
"50003814560",4
"500038146",4
"50003814644",4
"50003814649",4
"50003814683",4
"5000381471",4
"50003814712",1
"50003814729",4
"5000381473",4
"5000381474",1
"5000381475",4
"5000381476",1
"50003814811",4
"50003814820",4
"50003814822",4
"50003814825",1
"50003814826",4
"50003814827",4
"50003814828",1
"50003814833",4
"50003814915",4
"5000381497",4
"50003815031",4
"50003815065",4
"5000381509",4
"5000381511",4
"5000381513",4
"500038152",4
"50003815226",4
"50003815227",4
"50003815228",2
"50003815229",4
"50003815231",4
"50003815311",2
"50003815316",4
"50003815321",1
"50003815325",4
"50003815333",1
"50003815334",4
"50003815335",1
"50003815336",1
"50003815337",4
"50003815338",1
"5000381538",4
"5000381540",3
"50003815416",4
"50003815417",4
"50003815418",2
"50003815423",4
"50003815425",2
"50003815426",2
"50003815428",1
"500038154282",4
"50003815430",4
"50003815454",4
"5000381547",4
"50003815520",4
"5000381554",4
"5000381560",4
"50003815623",1
"5000381565",1
"5000381566",1
"50003815712",1
"50003815714",4
"50003815720",2
"50003815729",4
"50003815741",1
"5000381579",4
"50003815790016",4
"50003815816",4
"50003815817",1
"50003815818",1
"50003815819",4
"50003815820",4
"50003815822",4
"50003815826",2
"50003815828",4
"50003815830",4
"5000381589",1
"5000381590",4
"50003815918",1
"50003815920",4
"50003815921",4
"5000381607",1
"5000381611",2
"50003816115",4
"50003816124",4
"50003816125",4
"50003816128",4
"5000381616",1
"5000381622",2
"50003816221",4
"50003816223",4
"50003816224",2
"5000381623",4
"5000381624",2
"5000381625",4
"5000381626",4
"5000381628",4
"5000381629",4
"5000381636",4
"5000381637",4
"5000381639",4
"50003816512",4
"50003816513",1
"50003816516",4
"50003816611",4
"50003816612",2
"50003816613",4
"50003816615",4
"50003816616",1
"50003816619",4
"5000381662",4
"5000381663",1
"5000381664",1
"5000381667",4
"5000381668",4
"5000381671",1
"50003816712",4
"50003816713",4
"50003816714",4
"50003816715",4
"50003816716",4
"5000381672",4
"50003816722",4
"5000381673",4
"5000381674",4
"5000381675",4
"5000381676",4
"50003816772",4
"5000381678",4
